sportID,Sport,Country,Lat,Lon,participants_Count,medals_Count
1,Archery,Australia,-35.18,149.08,2,0
1,Archery,Bangladesh,23.42,90.22,1,0
1,Archery,Bhutan,27.32,89.43,1,0
1,Archery,Bulgaria,42.4,23.18,1,0
1,Archery,Burma,16.47,96.1,1,0
1,Archery,Canada,45.25,-75.43,2,0
1,Archery,Chile,-50.46,-75.26,1,0
1,Archery,China,39.55,116.26,7,2
1,Archery,Colombia,4.38,-74.05,2,0
1,Archery,Cote d'Ivoire,6.51,-5.18,1,0
1,Archery,Cuba,23.07,-82.25,1,0
1,Archery,Denmark,55.43,12.34,3,0
1,Archery,Egypt,30.2,31.13,2,0
1,Archery,Estonia,59.22,24.48,1,0
1,Archery,Fiji,-18.08,178.25,1,0
1,Archery,France,48.5,2.2,4,0
1,Archery,Georgia,41.43,44.48,1,0
1,Archery,Germany,52.32,13.25,2,0
1,Archery,Greece,38,23.44,1,0
1,Archery,India,28.37,77.13,5,0
1,Archery,Iran,35.4,51.26,1,0
1,Archery,Iraq,33.2,44.26,1,0
1,Archery,Italy,41.48,12.36,5,1
1,Archery,Japan,35.4,139.45,6,2
1,Archery,Kazakhstan,43.19,76.55,2,0
1,Archery,"Korea, North",39,125.47,1,0
1,Archery,"Korea, South",37.3,127,6,4
1,Archery,Luxembourg,49.37,6.08,1,0
1,Archery,Malaysia,3.08,101.42,4,0
1,Archery,Mexico,19.25,-99.1,6,2
1,Archery,Moldova,47,28.5,1,0
1,Archery,Mongolia,47.54,106.52,2,0
1,Archery,Netherlands,52.21,4.54,1,0
1,Archery,Norway,59.55,10.45,1,0
1,Archery,Philippines,14.37,120.58,2,0
1,Archery,Poland,52.15,21,2,0
1,Archery,Russia,55.45,37.42,2,0
1,Archery,Samoa,-13.5,-171.45,1,0
1,Archery,San Marino,43.56,12.26,1,0
1,Archery,Slovenia,46.04,14.3,1,0
1,Archery,South Africa,-25.45,28.12,1,0
1,Archery,Spain,40.25,-3.43,2,0
1,Archery,Sweden,59.2,1.03,1,0
1,Archery,Switzerland,46.57,7.26,2,0
1,Archery,Taiwan,25.5,121.32,6,0
1,Archery,Thailand,13.44,100.3,1,0
1,Archery,Turkey,39.55,32.5,1,0
1,Archery,Ukraine,50.25,30.3,6,0
1,Archery,United Kingdom,51.3,-0.1,6,0
1,Archery,United States,38.55,-77,6,1
1,Archery,Venezuela,10.35,-66.56,2,0
2,Athletics,Afghanistan,34.31,69.12,2,0
2,Athletics,Albania,41.2,19.49,2,0
2,Athletics,Algeria,36.5,3,6,1
2,Athletics,American Samoa,-14.16,-170.43,1,0
2,Athletics,Andorra,42.3,1.3,2,0
2,Athletics,Angola,-8.5,13.15,2,0
2,Athletics,Antigua and Barbuda,17.08,-61.5,3,0
2,Athletics,Argentina,-34.4,-58.3,9,0
2,Athletics,Armenia,40.1,44.31,4,0
2,Athletics,Australia,-35.18,149.08,50,3
2,Athletics,Austria,48.13,16.22,7,0
2,Athletics,Azerbaijan,40.22,49.53,3,0
2,Athletics,Bahamas,25.05,-77.2,22,1
2,Athletics,Bahrain,26.12,50.38,9,1
2,Athletics,Bangladesh,23.42,90.22,1,0
2,Athletics,Barbados,13.06,-59.37,4,0
2,Athletics,Belarus,53.55,27.33,48,0
2,Athletics,Belgium,50.5,4.21,16,0
2,Athletics,Belize,17.13,-88.48,2,0
2,Athletics,Benin,6.3,2.47,2,0
2,Athletics,Bermuda,32.18,-64.48,2,0
2,Athletics,Bolivia,-16.3,-68.1,2,0
2,Athletics,Bosnia and Herzegovina,43.52,18.25,2,0
2,Athletics,Botswana,-24.45,25.55,3,1
2,Athletics,Brazil,-15.45,-47.57,36,0
2,Athletics,Brunei,4.56,114.58,2,0
2,Athletics,Bulgaria,42.4,23.18,8,0
2,Athletics,Burkina Faso,12.22,-1.31,2,0
2,Athletics,Burma,16.47,96.1,2,0
2,Athletics,Burundi,-3.22,29.19,3,0
2,Athletics,Cambodia,11.35,104.55,2,0
2,Athletics,Cameroon,3.52,11.31,2,0
2,Athletics,Canada,45.25,-75.43,44,1
2,Athletics,Cape Verde,39.03,-27.59,2,0
2,Athletics,Cayman Islands,19.2,-81.24,3,0
2,Athletics,Central African Republic,4.23,18.37,2,0
2,Athletics,Chad,12.1,14.59,2,0
2,Athletics,Chile,-50.46,-75.26,7,0
2,Athletics,China,39.55,116.26,51,6
2,Athletics,Colombia,4.38,-74.05,32,1
2,Athletics,Comoros,-11.4,43.16,2,0
2,Athletics,Congo,-4.14,15.14,2,0
2,Athletics,"Congo, Dem Rep",-4.19,15.19,2,0
2,Athletics,Cook Islands,-21.12,-159.46,2,0
2,Athletics,Costa Rica,9.59,-84.04,4,0
2,Athletics,Cote d'Ivoire,6.51,-5.18,4,0
2,Athletics,Croatia,45.48,15.58,8,1
2,Athletics,Cuba,23.07,-82.25,46,2
2,Athletics,Cyprus,35.09,33.21,4,0
2,Athletics,Czech Republic,50.06,14.26,31,2
2,Athletics,Denmark,55.43,12.34,6,0
2,Athletics,Djibouti,11.3,4.06,2,0
2,Athletics,Dominica,15.18,-61.23,2,0
2,Athletics,Dominican Republic,18.3,-69.57,11,2
2,Athletics,East Timor,-8.34,125.34,2,0
2,Athletics,Ecuador,-0.14,-78.3,12,0
2,Athletics,Egypt,30.2,31.13,7,0
2,Athletics,El Salvador,13.4,-89.1,2,0
2,Athletics,Equatorial Guinea,3.45,8.48,1,0
2,Athletics,Eritrea,15.2,38.58,10,0
2,Athletics,Estonia,59.22,24.48,11,1
2,Athletics,Ethiopia,9.03,38.42,31,7
2,Athletics,Fiji,-18.08,178.25,2,0
2,Athletics,Finland,60.08,25,13,1
2,Athletics,France,48.5,2.2,51,2
2,Athletics,Gabon,0.3,9.25,2,0
2,Athletics,Gambia,13.28,-16.39,2,0
2,Athletics,Georgia,41.43,44.48,4,0
2,Athletics,Germany,52.32,13.25,74,8
2,Athletics,Ghana,5.33,-0.15,3,0
2,Athletics,Greece,38,23.44,25,0
2,Athletics,Grenada,12.04,-61.44,8,1
2,Athletics,Guam,13.28,144.45,2,0
2,Athletics,Guatemala,14.38,-90.22,6,1
2,Athletics,Guinea,9.31,-13.43,2,0
2,Athletics,Guinea-Bissau,11.52,-15.39,2,0
2,Athletics,Guyana,6.46,-58.1,3,0
2,Athletics,Haiti,18.32,-72.2,4,0
2,Athletics,Honduras,14.05,-87.14,2,0
2,Athletics,Hungary,47.3,19.03,16,1
2,Athletics,Iceland,6.09,-21.51,3,0
2,Athletics,Independent Olympic Athletes,-13.48,-171.45,2,0
2,Athletics,India,28.37,77.13,13,0
2,Athletics,Indonesia,-6.08,106.45,1,0
2,Athletics,Iran,35.4,51.26,7,1
2,Athletics,Iraq,33.2,44.26,2,0
2,Athletics,Ireland,53.2,-6.15,22,0
2,Athletics,Israel,31.47,35.13,3,0
2,Athletics,Italy,41.48,12.36,37,1
2,Athletics,Jamaica,17.58,-76.48,45,12
2,Athletics,Japan,35.4,139.45,44,1
2,Athletics,Jordan,31.57,35.56,2,0
2,Athletics,Kazakhstan,43.19,76.55,23,1
2,Athletics,Kenya,-1.17,36.49,44,11
2,Athletics,Kiribati,14.36,-61.05,2,0
2,Athletics,"Korea, North",39,125.47,5,0
2,Athletics,"Korea, South",37.3,127,17,0
2,Athletics,Kuwait,29.2,48,3,0
2,Athletics,Kyrgyzstan,40.07,71.44,2,0
2,Athletics,Laos,17.59,102.38,2,0
2,Athletics,Latvia,56.4,106.1,17,0
2,Athletics,Lebanon,33.52,35.3,2,0
2,Athletics,Lesotho,-29.19,27.29,2,0
2,Athletics,Liberia,6.18,-10.47,3,0
2,Athletics,Libya,32.54,13.11,1,0
2,Athletics,Liechtenstein,47.08,9.32,1,0
2,Athletics,Lithuania,54.4,25.19,20,0
2,Athletics,Macedonia,42,21.28,2,0
2,Athletics,Madagascar,-18.52,47.3,2,0
2,Athletics,Malawi,-13.58,33.49,2,0
2,Athletics,Malaysia,3.08,101.42,2,0
2,Athletics,Maldives,4,73.28,2,0
2,Athletics,Mali,12.4,-7.59,2,0
2,Athletics,Malta,35.54,14.32,2,0
2,Athletics,Marshall Islands,7.7,-171.4,2,0
2,Athletics,Mauritania,1.09,-15.58,2,0
2,Athletics,Mauritius,-20.1,57.3,2,0
2,Athletics,Mexico,19.25,-99.1,18,0
2,Athletics,Micronesia,14.36,-61.05,2,0
