League,Club,cheapestMatchDayTicket,goalsPerGame,winsPerGame
English Premier,Arsenal,26,1.50,0.40
English Premier,Aston Villa,20,0.78,0.11
English Premier,Chelsea,41,2.33,0.78
English Premier,Everton,31,1.89,0.44
English Premier,Fulham,20,2.11,0.44
English Premier,Liverpool,39,1.33,0.22
English Premier,Man City,26,2.00,0.67
English Premier,Man Utd,30,2.60,0.80
English Premier,Newcastle,15,1.22,0.33
English Premier,Norwich,30,0.78,0.11
English Premier,QPR,25,0.78,0.00
English Premier,Reading,37,1.38,0.00
English Premier,Southampton,28,1.56,0.11
English Premier,Stoke,25,0.89,0.11
English Premier,Sunderland,25,0.75,0.13
English Premier,Swansea,35,1.56,0.33
English Premier,Tottenham,32,1.89,0.56
English Premier,West Brom,25,1.44,0.44
English Premier,West Ham,36,1.33,0.44
English Premier,Wigan,20,1.11,0.22
English Championship,Barnsley,25,1.46,0.31
English Championship,Birmingham City,21,1.15,0.31
English Championship,Blackburn Rovers,15,1.46,0.46
English Championship,Blackpool,24,1.69,0.38
English Championship,Bolton Wanderers,22,1.46,0.31
English Championship,Brighton & Hove Albion,28,1.23,0.38
English Championship,Bristol City,25,1.85,0.23
English Championship,Burnley,22,2.00,0.38
English Championship,Charlton Athletic,20,1.08,0.23
English Championship,Crystal Palace,20,1.77,0.54
English Championship,Huddersfield Town,10,1.38,0.46
English Championship,Hull City,20,1.54,0.54
English Championship,Ipswich Town,22.5,0.77,0.08
English Championship,Leeds United,20,1.54,0.38
English Championship,Leicester City,15,1.54,0.62
English Championship,Middlesbrough,24,1.62,0.62
English Championship,Millwall,26,1.77,0.31
English Championship,Nottingham Forest,20,1.54,0.38
English Championship,Peterborough United,15,1.23,0.31
English Championship,Sheffield Wednesday,24,1.38,0.23
English Championship,Watford,26,1.31,0.38
English Championship,Wolverhampton Wanderers,24,1.38,0.46
English League One,Bournemouth,18,1.20,0.10
English League One,Brentford,21,1.30,0.30
English League One,Bury,17,0.89,0.00
English League One,Carlisle United,19,1.22,0.33
English League One,Colchester United,18,0.90,0.20
English League One,Coventry City,18,0.90,0.10
English League One,Crawley Town,17,1.50,0.60
English League One,Crewe Alexandra,20,0.80,0.20
English League One,Doncaster Rovers,15,1.33,0.44
English League One,Hartlepool United,20,0.89,0.11
English League One,Leyton Orient,23,1.11,0.44
English League One,Milton Keynes Dons,20,1.30,0.50
English League One,Notts County,22,1.70,0.50
English League One,Oldham Athletic,19,0.78,0.22
English League One,Portsmouth,20,1.40,0.30
English League One,Preston North End,20,2.00,0.50
English League One,Scunthorpe United,17,0.70,0.20
English League One,Sheffield United,10,1.40,0.40
English League One,Shrewsbury Town,21,1.10,0.20
English League One,Stevenage,17,1.60,0.50
English League One,Swindon Town,19,1.40,0.50
English League One,Tranmere Rovers,14.5,2.50,0.70
English League One,Walsall,17.5,1.40,0.50
English League One,Yeovil Town,17,1.40,0.30
English League Two,Accrington Stanley,17,1.56,0.56
English League Two,AFC Wimbledon,15,1.10,0.20
